"ref","area","FPN - Dog fouling - 2013/14","FPN - Dog fouling - 2012/13","FPN - Dog fouling - 2011/12"
"20718","Almond",11,15,5
"20719","Pentland Hills",7,13,3
"20720","Drum Brae Gyle",22,20,19
"20721","Forth",55,54,88
"20722","Inverleith",4,20,10
"20723","Corstorphine Murrayfield",3,6,27
"20724","Sighthill Gorgie",39,64,22
"20725","Colinton Fairmilehead",8,6,4
"20726","Fountainbridge Craiglockhart",2,5,10
"20727","Meadows Morningside",2,1,3
"20728","City Centre",4,1,3
"20729","Leith Walk",1,9,4
"20730","Leith",4,11,7
"20731","Craigentinny Duddingston",35,31,10
"20732","Southside Newington",5,6,4
"20733","Liberton Gilmerton",10,13,31
"20734","Portobello Craigmillar",20,16,20
