"ref","area","Less than £10 donated in last year (%)","More than £200 donated in last year (%)"
"20718","Almond",0.385464935,0.13101559
"20719","Pentland Hills",0.392611252,0.115596777
"20720","Drum Brae Gyle",0.419919054,0.104220669
"20721","Forth",0.505523037,0.072027495
"20722","Inverleith",0.405059212,0.147347494
"20723","Corstorphine Murrayfield",0.384955211,0.13856272
"20724","Sighthill Gorgie",0.554008247,0.045632355
"20725","Colinton Fairmilehead",0.381179745,0.145787356
"20726","Fountainbridge Craiglockhart",0.487709309,0.093355719
"20727","Meadows Morningside",0.456200735,0.133093616
"20728","City Centre",0.504652248,0.105023253
"20729","Leith Walk",0.52096889,0.069709369
"20730","Leith",0.515124844,0.068719136
"20731","Craigentinny Duddingston",0.453112029,0.084193924
"20732","Southside Newington",0.47784891,0.113055504
"20733","Liberton Gilmerton",0.488635929,0.073622039
"20734","Portobello Craigmillar",0.488363047,0.076113709
