"ref","area","Total claimants","Total claimants (male)","Total claimants (female)"
"20718","Almond",138,95,43
"20719","Pentland Hills",237,165,72
"20720","Drum Brae Gyle",176,121,55
"20721","Forth",779,524,255
"20722","Inverleith",220,135,85
"20723","Corstorphine Murrayfield",157,103,54
"20724","Sighthill Gorgie",877,615,262
"20725","Colinton Fairmilehead",169,114,55
"20726","Fountainbridge Craiglockhart",247,177,70
"20727","Meadows Morningside",181,115,66
"20728","City Centre",309,223,86
"20729","Leith Walk",500,346,154
"20730","Leith",545,378,167
"20731","Craigentinny Duddingston",337,227,110
"20732","Southside Newington",269,195,74
"20733","Liberton Gilmerton",489,322,167
"20734","Portobello Craigmillar",438,301,137
