"ref","area","Total respondents","Sat. management, city","Sat. management, n'hood","Sat. city as a place to live","Sat. n'hood as a place to live"
"20718","Almond",309,208,249,294,294
"20719","Pentland Hills",287,191,220,254,250
"20720","Drum Brae Gyle",305,184,233,271,262
"20721","Forth",350,156,206,217,279
"20722","Inverleith",289,182,226,246,274
"20723","Corstorphine Murrayfield",274,198,238,252,254
"20724","Sighthill Gorgie",349,206,236,298,267
"20725","Colinton Fairmilehead",256,186,214,246,238
"20726","Fountainbridge Craiglockhart",238,184,193,228,223
"20727","Meadows Morningside",305,229,250,296,298
"20728","City Centre",263,179,188,245,243
"20729","Leith Walk",324,232,243,309,282
"20730","Leith",300,190,220,253,265
"20731","Craigentinny Duddingston",311,232,248,293,291
"20732","Southside Newington",321,240,270,309,303
"20733","Liberton Gilmerton",327,214,209,299,229
"20734","Portobello Craigmillar",317,200,234,270,263
