"ref","area","Total","Managers, directors, senior officials","Professional occupations","Associate professional and technical","Administrative and secretarial","Skilled trades","Caring, leisure and other service","Sales and customer service","Process, plant and machine operatives","Elementary occupations","Self-employed total (aged 16+)","Self employed with employees (aged 16+)","Self employed without employees (aged 16+)"
"20718","Almond",12128,1454,2871,1840,1618,1002,917,953,525,948,1750,1228,522
"20719","Pentland Hills",10726,1054,2425,1489,1397,925,956,961,563,956,1381,1017,364
"20720","Drum Brae Gyle",11316,1043,2326,1636,1835,969,955,1093,554,905,1286,958,328
"20721","Forth",15607,1329,2942,1989,1745,1375,1588,1473,843,2323,1820,1371,449
"20722","Inverleith",16537,2083,5822,2913,1706,888,889,892,362,982,2634,1921,713
"20723","Corstorphine Murrayfield",11481,1368,3075,1818,1618,833,817,835,386,731,1650,1191,459
"20724","Sighthill Gorgie",18134,973,2865,2280,2486,1669,1795,1909,1015,3142,1368,1131,237
"20725","Colinton Fairmilehead",11447,1354,3198,1865,1414,711,883,862,406,754,1583,1087,496
"20726","Fountainbridge Craiglockhart",13356,1286,4150,2222,1517,764,833,990,311,1283,1411,1082,329
"20727","Meadows Morningside",16684,1690,6636,2688,1384,628,859,1192,205,1402,2477,1805,672
"20728","City Centre",12694,1511,3915,2315,1081,579,692,1027,191,1383,2167,1706,461
"20729","Leith Walk",20126,1686,5144,3381,2307,1474,1485,1610,525,2514,2157,1798,359
"20730","Leith",14469,1413,3400,2399,1542,1143,1141,1225,530,1676,1736,1401,335
"20731","Craigentinny Duddingston",12861,1023,2436,1842,1904,1179,1172,1223,655,1427,1496,1133,363
"20732","Southside Newington",13246,1265,4664,1874,1225,633,883,1093,265,1344,1932,1436,496
"20733","Liberton Gilmerton",14894,1195,2766,1622,1871,1646,1715,1296,902,1881,1790,1370,420
"20734","Portobello Craigmillar",11206,937,2041,1436,1352,1127,1191,1078,630,1414,1504,1145,359
