"ref","area","Very good health","Good health","Fair health","Bad health","Very bad health"
"20718","Almond",14873,7121,2287,569,166
"20719","Pentland Hills",13954,6907,2104,585,165
"20720","Drum Brae Gyle",12531,6582,2241,659,208
"20721","Forth",17871,9745,3850,1322,423
"20722","Inverleith",19151,8231,2777,751,202
"20723","Corstorphine Murrayfield",13683,6453,2104,575,152
"20724","Sighthill Gorgie",18882,11602,4551,1723,540
"20725","Colinton Fairmilehead",14959,6481,2050,579,169
"20726","Fountainbridge Craiglockhart",14504,6709,2007,597,177
"20727","Meadows Morningside",22635,8446,2269,632,183
"20728","City Centre",15185,6536,1682,578,169
"20729","Leith Walk",18311,9490,2882,883,301
"20730","Leith",13572,7439,2698,911,311
"20731","Craigentinny Duddingston",13460,7959,2925,1035,367
"20732","Southside Newington",20518,8766,2771,858,310
"20733","Liberton Gilmerton",17206,10047,4166,1490,483
"20734","Portobello Craigmillar",13225,7423,3141,1199,392
