"ref","area","National Social Grade 'A'","National Social Grade 'B'","National Social Grade 'C1'","National Social Grade 'C2'","National Social Grade 'D'","National Social Grade 'E'"
"20718","Almond",1106.575164,3251.015776,3194.74373,1656.872766,969.976806,1345.815759
"20719","Pentland Hills",838.430009,2428.303641,2459.879798,1387.063251,927.9125128,1493.410788
"20720","Drum Brae Gyle",751.699733,2745.318704,3118.275099,1801.963723,1113.140937,1459.601804
"20721","Forth",677.9680686,2774.892953,3971.917049,2546.688502,2265.048086,4087.485341
"20722","Inverleith",1576.620246,4641.576444,5005.764004,2026.731242,1358.700909,2224.607156
"20723","Corstorphine Murrayfield",949.028349,3018.991666,3117.949053,1321.326243,813.837993,1342.866695
"20724","Sighthill Gorgie",491.5078432,2481.10188,5618.493037,2805.190742,2961.982818,5257.723681
"20725","Colinton Fairmilehead",1182.399767,3199.247718,2958.580931,1359.811222,890.1874502,1528.772912
"20726","Fountainbridge Craiglockhart",735.5642457,2943.496207,5011.396626,1367.972865,1279.121806,2041.44825
"20727","Meadows Morningside",1238.552503,3867.45381,6038.110691,1432.624128,1201.831087,1993.42778
"20728","City Centre",884.4667488,2925.945075,5382.552914,1314.153803,1277.427143,2043.454316
"20729","Leith Walk",753.0736226,3500.29126,6933.695899,1944.615868,2028.305547,3244.017804
"20730","Leith",606.3141761,2867.180759,4895.176238,1910.352736,1728.72718,2793.248911
"20731","Craigentinny Duddingston",700.3086209,2678.839513,3582.408401,1913.184689,1545.920386,2693.33839
"20732","Southside Newington",1057.560664,3563.142535,6260.64186,1505.680569,1410.934774,2485.039599
"20733","Liberton Gilmerton",696.3445192,2673.315438,3763.972873,2767.25551,2131.757724,3289.353936
"20734","Portobello Craigmillar",580.2356907,2162.214132,2948.515427,1962.566194,1642.941788,2814.526768
