"ref","area","'Comfortable' on household income","'Coping' on household income","'Difficult' on household income","'Very difficult' on household income"
"20718","Almond",4141.385396,5154.116655,1570.760866,642.5284902
"20719","Pentland Hills",3176.33278,4058.095091,1432.391886,683.8653831
"20720","Drum Brae Gyle",3516.185465,5053.743331,1667.025058,719.5618147
"20721","Forth",3589.950562,6943.845393,3398.419312,1866.353801
"20722","Inverleith",5528.244465,7573.40816,2535.908888,1122.891149
"20723","Corstorphine Murrayfield",3736.908362,4768.905054,1433.883555,624.3030282
"20724","Sighthill Gorgie",3741.290885,8272.383919,4536.660489,2491.158678
"20725","Colinton Fairmilehead",4032.869752,4784.894582,1529.049664,669.28456
"20726","Fountainbridge Craiglockhart",3809.423656,6075.224058,2365.306022,1129.1401
"20727","Meadows Morningside",4952.596478,7171.17124,2523.923027,1124.347818
"20728","City Centre",3648.86261,6267.079704,2683.868883,1228.92408
"20729","Leith Walk",4521.295305,8266.553755,3768.894352,1821.580575
"20730","Leith",3522.420935,6640.263218,3035.723857,1503.89618
"20731","Craigentinny Duddingston",3626.406115,5709.904191,2344.430626,1154.728187
"20732","Southside Newington",4850.638058,7352.826354,2756.841138,1288.450768
"20733","Liberton Gilmerton",3863.966286,6792.51844,2959.337472,1490.137555
"20734","Portobello Craigmillar",2979.244991,5168.572066,2392.113153,1271.911303
