"ref","area","Hh on low income (after housing costs)","Children in low income households"
"20718","Almond",1788.565343,789.0021734
"20719","Pentland Hills",1907.957994,991.396013
"20720","Drum Brae Gyle",1920.420434,875.2415763
"20721","Forth",4136.454337,2343.3776
"20722","Inverleith",2564.715346,889.3190339
"20723","Corstorphine Murrayfield",1790.73705,515.1324243
"20724","Sighthill Gorgie",5094.710808,2511.177712
"20725","Colinton Fairmilehead",1895.01385,718.0668802
"20726","Fountainbridge Craiglockhart",2449.677812,531.2986807
"20727","Meadows Morningside",3302.493953,694.2616771
"20728","City Centre",2727.448638,698.5756927
"20729","Leith Walk",2622.468496,1063.823199
"20730","Leith",3906.400287,1109.592132
"20731","Craigentinny Duddingston",2937.911893,1157.141628
"20732","Southside Newington",3326.378664,1095.3818
"20733","Liberton Gilmerton",3664.030464,2088.339482
"20734","Portobello Craigmillar",3024.573032,1687.197307
