"indicatorId","source","date","wardId","value"
2,"Census","2011-03","20718",25016
2,"Census","2011-03","20719",23715
2,"Census","2011-03","20720",22221
2,"Census","2011-03","20721",33211
2,"Census","2011-03","20722",31112
2,"Census","2011-03","20723",22967
2,"Census","2011-03","20724",37298
2,"Census","2011-03","20725",24238
2,"Census","2011-03","20726",23994
2,"Census","2011-03","20727",34165
2,"Census","2011-03","20728",24150
2,"Census","2011-03","20729",31867
2,"Census","2011-03","20730",24931
2,"Census","2011-03","20731",25746
2,"Census","2011-03","20732",33223
2,"Census","2011-03","20733",33392
2,"Census","2011-03","20734",25380
3,"Census","2011-03","20718",12117
3,"Census","2011-03","20719",11778
3,"Census","2011-03","20720",10694
3,"Census","2011-03","20721",16035
3,"Census","2011-03","20722",14873
3,"Census","2011-03","20723",10820
3,"Census","2011-03","20724",19174
3,"Census","2011-03","20725",11738
3,"Census","2011-03","20726",11833
3,"Census","2011-03","20727",16236
3,"Census","2011-03","20728",12346
3,"Census","2011-03","20729",15939
3,"Census","2011-03","20730",12573
3,"Census","2011-03","20731",12413
3,"Census","2011-03","20732",15845
3,"Census","2011-03","20733",15875
3,"Census","2011-03","20734",12075
4,"Census","2011-03","20718",12899
4,"Census","2011-03","20719",11937
4,"Census","2011-03","20720",11527
4,"Census","2011-03","20721",17176
4,"Census","2011-03","20722",16239
4,"Census","2011-03","20723",12147
4,"Census","2011-03","20724",18124
4,"Census","2011-03","20725",12500
4,"Census","2011-03","20726",12161
4,"Census","2011-03","20727",17929
4,"Census","2011-03","20728",11804
4,"Census","2011-03","20729",15928
4,"Census","2011-03","20730",12358
4,"Census","2011-03","20731",13333
4,"Census","2011-03","20732",17378
4,"Census","2011-03","20733",17517
4,"Census","2011-03","20734",13305
5,"Census","2011-03","20718",1499
5,"Census","2011-03","20719",1261
5,"Census","2011-03","20720",1273
5,"Census","2011-03","20721",2601
5,"Census","2011-03","20722",1572
5,"Census","2011-03","20723",1333
5,"Census","2011-03","20724",2261
5,"Census","2011-03","20725",1519
5,"Census","2011-03","20726",1057
5,"Census","2011-03","20727",1373
5,"Census","2011-03","20728",655
5,"Census","2011-03","20729",1511
5,"Census","2011-03","20730",1560
5,"Census","2011-03","20731",1330
5,"Census","2011-03","20732",1281
5,"Census","2011-03","20733",2251
