no,group,indicator,source,date,Edinburgh,Almond,Pentland Hills,Drum Brae Gyle,Forth,Inverleith,Corstorphine Murrayfield,Sighthill Gorgie,Colinton Fairmilehead,Fountainbridge Craiglockhart,Meadows Morningside,City Centre,Leith Walk,Leith ,Craigentinny Duddingston,Southside Newington,Liberton Gilmerton,Portobello Craigmillar,North West,Leith and East,City Centre and South,South West
2,Population,Total population,Census,2011-03,476626,25016,23715,22221,33211,31112,22967,37298,24238,23994,34165,24150,31867,24931,25746,33223,33392,25380,134527,107924,124930,109245
3,Population,Population: male,Census,2011-03,232364,12117,11778,10694,16035,14873,10820,19174,11738,11833,16236,12346,15939,12573,12413,15845,15875,12075,64539,53000,60302,54523
4,Population,Population: female,Census,2011-03,244262,12899,11937,11527,17176,16239,12147,18124,12500,12161,17929,11804,15928,12358,13333,17378,17517,13305,69988,54924,64628,54722
5,Population,Age: 0-4,Census,2011-03,26163,1499,1261,1273,2601,1572,1333,2261,1519,1057,1373,655,1511,1560,1330,1281,2251,1826,8278,6227,5560,6098
6,Population,Age: 5-11,Census,2011-03,28639,2166,1819,1485,2659,1845,1516,2090,2005,1032,1633,602,1102,1104,1451,1543,2537,2050,9671,5707,6315,6946
7,Population,Age: 12-15,Census,2011-03,17400,1288,1172,954,1481,1245,974,1193,1331,641,1013,375,588,633,861,830,1652,1169,5942,3251,3870,4337
8,Population,Age: 16-24,Census,2011-03,71868,2194,3430,2276,3769,3016,2061,5751,2433,4330,8932,7070,4504,2780,2672,10450,3542,2658,13316,12614,29994,15944
9,Population,Age: 25-44,Census,2011-03,150733,5887,5366,5727,10638,10029,5998,14205,5514,8778,10334,9116,15805,10922,7921,8698,8783,7012,38279,41660,36931,33863
10,Population,Age: 45-64,Census,2011-03,113336,7338,6716,6418,7866,7976,6366,7649,7150,5232,6748,4319,5679,5224,6666,6062,9107,6820,35964,24389,26236,26747
11,Population,Age: 65-84,Census,2011-03,58609,4108,3558,3500,3660,4520,3889,3671,3744,2492,3308,1753,2258,2342,4247,3543,4657,3359,19677,12206,13261,13465
12,Population,Age: 85+,Census,2011-03,9878,536,393,588,537,909,830,478,542,432,824,260,420,366,598,816,863,486,3400,1870,2763,1845
13,Population,Age: 0-15,Census,2011-03,72202,4953,4252,3712,6741,4662,3823,5544,4855,2730,4019,1632,3201,3297,3642,3654,6440,5045,23891,15185,15745,17381
14,Population,Age: 16-24,Census,2011-03,71868,2194,3430,2276,3769,3016,2061,5751,2433,4330,8932,7070,4504,2780,2672,10450,3542,2658,13316,12614,29994,15944
15,Population,Age: 25-44,Census,2011-03,150733,5887,5366,5727,10638,10029,5998,14205,5514,8778,10334,9116,15805,10922,7921,8698,8783,7012,38279,41660,36931,33863
16,Population,Age: 45-64,Census,2011-03,113336,7338,6716,6418,7866,7976,6366,7649,7150,5232,6748,4319,5679,5224,6666,6062,9107,6820,35964,24389,26236,26747
17,Population,Age: 65+,Census,2011-03,68487,4644,3951,4088,4197,5429,4719,4149,4286,2924,4132,2013,2678,2708,4845,4359,5520,3845,23077,14076,16024,15310
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Households,Total households (census),Census,2011-03,223051,10504,9348,9986,15313,15336,10480,19036,10163,12093,14724,11833,17661,13249,12991,14087,14767,11480,61619,55381,55411,50640
30,Households,1 Person: Pensioner,Census,2011-03,26389,1418,1166,1405,1717,2228,1704,1798,1474,1233,1621,964,1269,1211,1912,1882,1995,1392,8472,5784,6462,5671
31,Households,1 Person: Other,Census,2011-03,60787,1433,1449,1950,4057,4126,1930,6840,1459,4055,3533,4613,7287,4850,3471,3693,3158,2883,13496,18491,14997,13803
32,Households,"1 Adult, plus children",Census,2011-03,9991,409,399,396,1306,427,406,1211,406,279,306,263,591,699,629,370,1020,874,2944,2793,1959,2295
33,Households,"2 Adults, no children",Census,2011-03,69002,3620,3113,3225,4089,5064,3476,5350,3312,4042,4409,3780,5657,4061,4117,4226,4317,3144,19474,16979,16732,15817
34,Households,"2 Adults, plus children",Census,2011-03,27296,1948,1586,1484,2244,1923,1586,1776,1893,1275,1738,687,1348,1283,1362,1456,2054,1653,9185,5646,5935,6530
35,Households,"3+ Adults, no children",Census,2011-03,23104,1211,1136,1120,1349,1169,1038,1588,1175,985,2781,1416,1287,890,1156,2159,1574,1070,5887,4403,7930,4884
36,Households,"3+ Adults, plus children",Census,2011-03,6482,465,499,406,551,399,340,473,444,224,336,110,222,255,344,301,649,464,2161,1285,1396,1640
37,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Household tenure,Household tenure: total,Census,2011-03,223051,10504,9348,9986,15313,15336,10480,19036,10163,12093,14724,11833,17661,13249,12991,14087,14767,11480,61619,55381,55411,50640
50,Household tenure,Owner occupied,Census,2011-03,131477,8588,6977,7588,7644,10326,8257,7976,7808,7231,8856,4582,8342,6218,8287,7236,9233,6328,42403,29175,29907,29992
51,Household tenure,Shared ownership,Census,2011-03,1342,16,53,33,76,29,54,156,26,100,79,68,144,152,94,107,56,99,208,489,310,335
52,Household tenure,Rented: Council,Census,2011-03,20305,516,899,700,3284,649,224,3860,655,397,135,240,453,1354,1773,877,2503,1786,5373,5366,3755,5811
53,Household tenure,Rented: Other social,Census,2011-03,17651,262,711,522,1679,544,284,1846,566,1033,450,1470,1876,1763,578,1031,1269,1767,3291,5984,4220,4156
54,Household tenure,Rented: Private landlord,Census,2011-03,49878,990,602,1067,2536,3549,1544,5021,1030,3220,4981,5286,6670,3670,2137,4627,1542,1406,9686,13883,16436,9873
55,Household tenure,Living rent free,Census,2011-03,2398,132,106,76,94,239,117,177,78,112,223,187,176,92,122,209,164,94,658,484,783,473
56,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Household rooms,Total households,Census,2011-03,223051,10504,9348,9986,15313,15336,10480,19036,10163,12093,14724,11833,17661,13249,12991,14087,14767,11480,61619,55381,55411,50640
71,Household rooms,1 room,Census,2011-03,1676,20,37,61,102,55,31,175,47,109,91,235,183,132,86,122,101,89,269,490,549,368
72,Household rooms,2 rooms,Census,2011-03,14055,156,179,395,691,682,223,1987,210,1231,589,1223,2550,1330,696,834,435,644,2147,5220,3081,3607
73,Household rooms,3 to 4 rooms,Census,2011-03,110638,2761,2837,4197,8473,7025,4328,11974,2960,6528,5973,6348,11676,8823,7294,7218,6542,5681,26784,33474,26081,24299
74,Household rooms,5 to 6 rooms,Census,2011-03,66844,4581,3864,3837,4647,4975,3687,4424,3917,2874,5153,2945,2719,2342,3818,3530,5935,3596,21727,12475,17563,15079
75,Household rooms,7+ rooms,Census,2011-03,29838,2986,2431,1496,1400,2599,2211,476,3029,1351,2918,1082,533,622,1097,2383,1754,1470,10692,3722,8137,7287
76,Household rooms,Average rooms per household,Census,2011-03,4.6,5.6,5.5,4.9,4.5,4.8,5.2,3.9,5.6,4.3,5,4.2,3.7,3.9,4.4,4.7,4.8,4.6,4.945649712,4.094316276,4.689376685,4.636451751
77,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Household occupancy,Total households,Census,2011-03,223051,10504,9348,9986,15313,15336,10480,19036,10163,12093,14724,11833,17661,13249,12991,14087,14767,11480,61619,55381,55411,50640
91,Household occupancy,1 person,Census,2011-03,87176,2851,2615,3355,5774,6354,3634,8638,2933,5288,5154,5577,8556,6061,5383,5575,5153,4275,21968,24275,21459,19474
92,Household occupancy,2 persons,Census,2011-03,74692,3841,3322,3439,4803,5328,3703,6069,3524,4217,4599,3953,6026,4502,4510,4445,4791,3620,21114,18658,17788,17132
93,Household occupancy,3 to 4 persons,Census,2011-03,52372,3210,2854,2769,4039,3193,2768,3720,3177,2304,4175,1960,2737,2404,2723,3376,3997,2966,15979,10830,13508,12055
94,Household occupancy,5 to 6 persons,Census,2011-03,8236,569,529,402,635,433,360,554,503,268,763,329,313,261,338,653,751,575,2399,1487,2496,1854
95,Household occupancy,7+ persons,Census,2011-03,575,33,28,21,62,28,15,55,26,16,33,14,29,21,37,38,75,44,159,131,160,125
96,Household occupancy,Overcrowded hh spaces,Census,2011-03,5301,91,119,167,399,160,110,638,124,297,316,456,609,411,286,409,386,323,927,1629,1567,1178
97,Household occupancy,Under occupied hh spaces,Census,2011-03,68684,5998,4850,3877,3849,6019,4785,2448,5549,3174,5473,2652,1950,1962,3556,4096,5030,3416,24528,10884,17251,16021
98,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Transport to Work,Rail,Census,2011-03,4342,508,134,171,134,363,136,281,95,224,323,500,474,184,166,262,90,297,1312,1121,1175,734
112,Transport to Work,Bus,Census,2011-03,56580,1650,1874,2944,4529,2940,2916,5994,2406,3253,2973,1925,5533,4637,3643,2347,4030,2986,14979,16799,11275,13527
113,Transport to Work,Car - drive,Census,2011-03,81046,6548,5566,5133,5509,5259,4642,5221,5639,4035,4145,2130,4341,4323,4617,3044,6411,4483,27091,17764,15730,20461
114,Transport to Work,Car - passenger,Census,2011-03,7001,465,364,389,598,432,349,580,361,299,273,172,425,375,491,275,705,448,2233,1739,1425,1604
115,Transport to Work,Motorcycle,Census,2011-03,962,74,61,58,60,61,43,63,75,49,43,13,54,69,75,38,77,49,296,247,171,248
116,Transport to Work,Bicycle,Census,2011-03,9478,325,300,290,603,634,442,462,449,752,1264,413,784,605,491,907,319,438,2294,2318,2903,1963
117,Transport to Work,Foot,Census,2011-03,36059,652,515,848,1724,4185,1252,2709,702,2236,3536,4079,5228,2161,1526,2803,1125,778,8661,9693,11543,6162
118,Transport to Work,Other,Census,2011-03,2410,185,112,114,142,206,132,130,116,130,165,173,180,132,127,121,132,113,779,552,591,488
119,Transport to Work,Working at home,Census,2011-03,22795,1298,1120,937,1576,1809,1094,1431,1151,1154,1658,1555,1688,1329,1103,1376,1393,1123,6714,5243,5982,4856
120,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Dwellings,Total dwellings,Census,2011-03,230058,10845,9477,10176,15674,16052,10784,19468,10393,12451,15186,12975,18241,13907,13266,14418,14984,11761,63531,57175,57563,51789
131,Dwellings,Vacant dwellings,Census,2011-03,5065,274,111,160,295,490,237,383,202,307,345,481,457,363,241,253,201,265,1456,1326,1280,1003
132,Dwellings,2nd residence,Census,2011-03,2083,67,20,30,96,231,67,58,29,53,138,670,132,320,35,94,24,19,491,506,926,160
133,Dwellings,Detached,Census,2011-03,23895,3216,2890,1809,489,1749,1599,302,3522,998,1008,109,126,153,1484,792,2226,1423,8862,3186,4135,7712
134,Dwellings,Semi-detached,Census,2011-03,29395,2707,2955,2754,1891,1814,1965,1433,2329,578,776,146,288,561,1776,1246,4153,2023,11131,4648,6321,7295
135,Dwellings,Terraced,Census,2011-03,29346,2408,1223,2394,2043,1887,1783,1622,1220,1231,1251,693,1214,1336,1624,1170,3781,2466,10515,6640,6895,5296
136,Dwellings,Flat / tenement,Census,2011-03,147486,2512,2405,3217,11280,10607,5437,16117,3323,9644,12171,12035,16619,11874,8383,11223,4828,5811,33053,42687,40257,31489
137,Dwellings,Caravan / temporary,Census,2011-03,77,2,6,2,1,0,0,3,0,2,1,1,3,8,0,3,4,41,5,52,9,11
138,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Economic activity,All persons 16 to 74,Census,2011-03,370018,17862,17709,16348,24457,23556,16462,29916,17268,19782,27883,21619,27309,20365,19688,27194,24165,18435,98685,85797,100861,84675
152,Economic activity,Economically active,Census,2011-03,255445,12734,11546,11953,17314,17347,11977,20272,12058,14338,17731,13913,21643,15594,13866,14603,16259,12297,71325,63400,62506,58214
153,Economic activity,Employees - part-time,Census,2011-03,42272,2553,2437,2419,3327,2619,2105,3351,2569,1931,2311,1295,2687,2206,2569,2041,3328,2524,13023,9986,8975,10288
154,Economic activity,Employees - full-time,Census,2011-03,149108,7417,6256,7200,9760,10688,7267,12214,6876,8838,9724,7605,13927,9893,8205,7337,9194,6707,42332,38732,33860,34184
155,Economic activity,Self-employed,Census,2011-03,29284,1735,1353,1265,1788,2582,1625,1306,1549,1363,2345,2060,2093,1716,1465,1795,1760,1484,8995,6758,7960,5571
156,Economic activity,Unemployed,Census,2011-03,14517,522,565,549,1489,700,428,1818,520,642,587,714,1236,1003,850,709,1212,973,3688,4062,3222,3545
157,Economic activity,Full-time student - employed,Census,2011-03,20255,507,935,520,950,758,543,1583,544,1564,2764,2239,1700,776,777,2721,765,609,3278,3862,8489,4626
158,Economic activity,Economically inactive,Census,2011-03,114573,5128,6163,4395,7143,6209,4485,9644,5210,5444,10152,7706,5666,4771,5822,12591,7906,6138,27360,22397,38355,26461
159,Economic activity,Retired ,Census,2011-03,42947,3108,2879,2514,2669,3114,2605,2812,2830,1888,2392,1310,1673,1771,2931,2461,3501,2489,14010,8864,9664,10409
160,Economic activity,Student,Census,2011-03,38223,754,1964,658,1169,1488,775,2529,994,2350,6347,5017,1857,841,898,8383,1284,915,4844,4511,21031,7837
161,Economic activity,Looking after home or family,Census,2011-03,12978,681,569,538,1335,811,596,1314,705,386,620,419,720,732,685,659,1187,1021,3961,3158,2885,2974
162,Economic activity,Long-term sick or disabled,Census,2011-03,13518,389,475,466,1346,494,300,1820,452,512,461,617,954,998,940,731,1353,1210,2995,4102,3162,3259
163,Economic activity,Other,Census,2011-03,6907,196,276,219,624,302,209,1169,229,308,332,343,462,429,368,357,581,503,1550,1762,1613,1982
164,Economic activity,Male: All persons 16 to 74,Census,2011-03,182583,8598,8854,7913,11821,11362,7890,15625,8400,9876,13428,11134,13824,10383,9857,13177,11590,8851,47584,42915,49329,42755
165,Economic activity,Male: Economically active,Census,2011-03,132677,6584,6008,6109,8970,8862,6180,10923,6235,7417,8952,7506,11294,8278,7181,7536,8341,6301,36705,33054,32335,30583
166,Economic activity,Male: Employees - part-time,Census,2011-03,9985,391,431,461,826,593,389,963,471,487,607,454,843,626,591,543,736,573,2660,2633,2340,2352
167,Economic activity,Male:  Employees - full-time,Census,2011-03,84612,4483,3738,4131,5568,5851,4208,7009,4119,4864,5393,4343,7545,5493,4616,4223,5179,3849,24241,21503,19138,19730
168,Economic activity,Male: Self-employed,Census,2011-03,19691,1169,968,914,1209,1671,1082,956,1077,915,1484,1282,1364,1163,1046,1106,1298,987,6045,4560,5170,3916
169,Economic activity,Male: Unemployed,Census,2011-03,9109,319,369,343,923,420,254,1171,307,413,318,448,775,670,564,439,766,610,2259,2619,1971,2260
170,Economic activity,Male: Full-time student - employed,Census,2011-03,9280,222,502,260,444,327,247,824,261,738,1150,979,767,326,364,1225,362,282,1500,1739,3716,2325
171,Economic activity,Male: Economically inactive,Census,2011-03,49636,2014,2846,1804,2851,2500,1710,4702,2165,2459,4476,3628,2530,2105,2406,5641,3249,2550,10879,9591,16994,12172
172,Economic activity,Male: Retired ,Census,2011-03,18108,1302,1223,1057,1120,1264,1052,1177,1206,765,985,592,756,788,1240,1066,1441,1074,5795,3858,4084,4371
173,Economic activity,Male:  Student,Census,2011-03,19149,383,1193,354,581,777,391,1487,586,1196,3017,2405,864,430,436,3922,693,434,2486,2164,10037,4462
174,Economic activity,Male: Looking after home or family,Census,2011-03,1436,50,60,56,173,70,34,165,51,39,41,49,101,100,84,64,146,153,383,438,300,315
175,Economic activity,Male: Long-term sick or disabled,Census,2011-03,7392,185,242,232,704,248,143,1053,219,299,260,403,573,578,476,424,704,649,1512,2276,1791,1813
176,Economic activity,Male: Other,Census,2011-03,3551,94,128,105,273,141,90,820,103,160,173,179,236,209,170,165,265,240,703,855,782,1211
